title,rating,text,reviewer_name,date,verified_purchase,helpful_votes,title_cleaned,text_cleaned,date_cleaned,verified_purchase_bool,helpful_votes_count,rating_processed,sentiment_stars,sentiment_score
"If this helps one person, it’s worth it.",rating,"I’ve bought this item multiple times. It works great and is normally the cheapest on the market. Here’s the catch: toward the end of its life (3 to 5 years), it can cause a weird glitch (I’m on an older iMac), which can be very hard to diagnose. Windows will slightly resize (almost a tiny spasm) and then the computer will slow down until it is almost unusable. Remove the mouse, replace it and you will be fine.",DJ Frederick,"Reviewed in the United States on May 12, 2025",Yes,0,"if this helps one person, it’s worth it.","i’ve bought this item multiple times. it works great and is normally the cheapest on the market. here’s the catch: toward the end of its life (3 to 5 years), it can cause a weird glitch (i’m on an older imac), which can be very hard to diagnose. windows will slightly resize (almost a tiny spasm) and then the computer will slow down until it is almost unusable. remove the mouse, replace it and you will be fine.",2025-05-12,True,0,rating,4,0.35611382126808167
Works Well,rating,"A good mouse for a great price, thank you!",Angela,"Reviewed in the United States on June 3, 2025",Yes,0,works well,"a good mouse for a great price, thank you!",2025-06-03,True,0,rating,5,0.6266951560974121
Mouse,rating,De mis primeras compras por Amazon .. satisfecha,Marilyn Salas,"Reviewed in the United States on June 3, 2025",Yes,0,mouse,de mis primeras compras por amazon .. satisfecha,2025-06-03,True,0,rating,5,0.5792960524559021
convenient,rating,convenient for laptops... don't have to worry about batteries for wireless mouse,GA Long Beach,"Reviewed in the United States on June 2, 2025",Yes,0,convenient,convenient for laptops... don't have to worry about batteries for wireless mouse,2025-06-02,True,0,rating,4,0.5832597613334656
Works,rating,Works fine. I wish Amazon would give us a gift card or something for reviews like other sites do. I try to give a lot of reviews,Amazon Customer,"Reviewed in the United States on May 16, 2025",Yes,0,works,works fine. i wish amazon would give us a gift card or something for reviews like other sites do. i try to give a lot of reviews,2025-05-16,True,0,rating,4,0.6241310834884644
excellent mouse,rating,"It's so basic yet so practical. The clicks are silent and satisfying at the same time, responds well to all movements, a true classic. It's not too big or too small, my hand size is very average, gripping it is so satisfying.",Nicholas,"Reviewed in the United States on May 11, 2025",Yes,0,excellent mouse,"it's so basic yet so practical. the clicks are silent and satisfying at the same time, responds well to all movements, a true classic. it's not too big or too small, my hand size is very average, gripping it is so satisfying.",2025-05-11,True,0,rating,5,0.7758859395980835
Scroll Wheel Failed after Two Years of INTENSIVE Use / Pretty Good Product,rating,"I like it. I use a wired mouse because I cannot be slowed down by changing batteries. It lasted almost two years to the day. The scroll wheel no longer works. As much as I use it, I cannot complain too much. It's a good mouse, a good price, just not sure what happened to the scroll wheel.",Dartmouth Review,"Reviewed in the United States on April 25, 2025",Yes,One person found this helpful,scroll wheel failed after two years of intensive use / pretty good product,"i like it. i use a wired mouse because i cannot be slowed down by changing batteries. it lasted almost two years to the day. the scroll wheel no longer works. as much as i use it, i cannot complain too much. it's a good mouse, a good price, just not sure what happened to the scroll wheel.",2025-04-25,True,0,rating,4,0.6349295973777771
Great Purchase!,rating,works great... fast deliver and excellent price.,Originally a superb product. How does one purchase the quality product?,"Reviewed in the United States on June 2, 2025",Yes,0,great purchase!,works great... fast deliver and excellent price.,2025-06-02,True,0,rating,5,0.8084465265274048
BASIC - versatile,rating,EXCTLY AS DESCRIBED - BUY THESE EVERY FEW YEARS,DianaQ,"Reviewed in the United States on May 30, 2025",Yes,0,basic - versatile,exctly as described - buy these every few years,2025-05-30,True,0,rating,5,0.777597963809967
Good Wired Mouse.,rating,"Excellent corded mouse... I had not 1, not 2, But 3 wireless mouse failures... I got this one while waiting on new mice... It works well without any problem... It will be my backup for the next time. Very reliable mouse, Comfortable to use, Designed well as all Logitech mice are. This is wired, so no battery required. Buttons are positive feel and comfortable. I can see this mouse lasting a very long time!",Sparkie,"Reviewed in the United States on April 25, 2025",Yes,0,good wired mouse.,"excellent corded mouse... i had not 1, not 2, but 3 wireless mouse failures... i got this one while waiting on new mice... it works well without any problem... it will be my backup for the next time. very reliable mouse, comfortable to use, designed well as all logitech mice are. this is wired, so no battery required. buttons are positive feel and comfortable. i can see this mouse lasting a very long time!",2025-04-25,True,0,rating,5,0.8660099506378174
works fine,rating,Used this to setup a raspberry Pi.,Alex P.,"Reviewed in the United States on June 4, 2025",Yes,0,works fine,used this to setup a raspberry pi.,2025-06-04,True,0,rating,5,0.45974528789520264
Good item,rating,Works good purchase 2x already due to my cat chewing on the cord,Mary,"Reviewed in the United States on May 20, 2025",Yes,0,good item,works good purchase 2x already due to my cat chewing on the cord,2025-05-20,True,0,rating,4,0.4928865134716034
what I like about my mouse purchase,rating,"I appreciate that the mouse is compact; I use it for long hours at a time. It's a great deal, with smooth scrolling, no battery needed, and it is durable.",Karen Caldwell,"Reviewed in the United States on May 5, 2025",Yes,0,what i like about my mouse purchase,"i appreciate that the mouse is compact; i use it for long hours at a time. it's a great deal, with smooth scrolling, no battery needed, and it is durable.",2025-05-05,True,0,rating,4,0.5099084973335266
Funciona,rating,"Funciona, solo funciona",Gabriel Ureña Perdomo,"Reviewed in the United States on May 19, 2025",Yes,0,funciona,"funciona, solo funciona",2025-05-19,True,0,rating,1,0.7661197185516357
Cheap backup,rating,Works well and a good price,Robert,"Reviewed in the United States on May 21, 2025",Yes,0,cheap backup,works well and a good price,2025-05-21,True,0,rating,4,0.49584051966667175
Excellent Deal from Start to Finish,rating,"Excellent Product, Excellent Price, Excellent Delivery Time! A++++","B.A. Fenner of Tampa Bay, FL","Reviewed in the United States on May 20, 2025",Yes,0,excellent deal from start to finish,"excellent product, excellent price, excellent delivery time! a++++",2025-05-20,True,0,rating,5,0.9409775733947754
"Good, cheap USB mouse",rating,"It is what it is. There are times when you just need a quick, cheap mouse for a few minutes",Steve S,"Reviewed in the United States on May 11, 2025",Yes,0,"good, cheap usb mouse","it is what it is. there are times when you just need a quick, cheap mouse for a few minutes",2025-05-11,True,0,rating,4,0.4141656160354614
Excellent value,rating,I use this as my mouse when I'm working remotely. It's a steal at this price and it performs exactly as a mouse should.,Riley,"Reviewed in the United States on May 11, 2025",Yes,0,excellent value,i use this as my mouse when i'm working remotely. it's a steal at this price and it performs exactly as a mouse should.,2025-05-11,True,0,rating,5,0.7866821885108948
Better and cheaper than my old one from Wal-Mart,rating,"Very quiet, moves smoothly",Kris,"Reviewed in the United States on May 24, 2025",Yes,0,better and cheaper than my old one from wal-mart,"very quiet, moves smoothly",2025-05-24,True,0,rating,5,0.5222221612930298
Very nice,rating,Nice for my laptop,Michael E. Gendron,"Reviewed in the United States on May 17, 2025",Yes,0,very nice,nice for my laptop,2025-05-17,True,0,rating,5,0.46356579661369324
Old fashioned sometimes is better,rating,"I ordered 3 computer mice, 2 used a USB receiver, and one was this plug in style. I needed them quickly and when I opened the boxes to the 2 with the USB, the receivers were missing from both boxes. Thankfully this plug in one was easy peasy, plugged in and I have a workable mouse. I use my mouse with my left hand and so it is awkward for me to use the touchpad which is really made for right handed people. Old-fashioned is still in! Works great.",J. Brown,"Reviewed in the United States on March 26, 2025",Yes,0,old fashioned sometimes is better,"i ordered 3 computer mice, 2 used a usb receiver, and one was this plug in style. i needed them quickly and when i opened the boxes to the 2 with the usb, the receivers were missing from both boxes. thankfully this plug in one was easy peasy, plugged in and i have a workable mouse. i use my mouse with my left hand and so it is awkward for me to use the touchpad which is really made for right handed people. old-fashioned is still in! works great.",2025-03-26,True,0,rating,5,0.7224803566932678
thanks,rating,nice,lawrence hathaway jr,"Reviewed in the United States on May 19, 2025",Yes,0,thanks,nice,2025-05-19,True,0,rating,4,0.4368409514427185
Price,rating,Good price,Jane Mcneill,"Reviewed in the United States on May 17, 2025",Yes,0,price,good price,2025-05-17,True,0,rating,4,0.4972047507762909
LOVED THIS MOUSE,rating,easy to attach to computer. GREAT FOR LADIES' HAND as it fits comfortably while in use/ Smooth moving. QUICK RESPONSE!,Kindle Customer,"Reviewed in the United States on May 3, 2025",Yes,0,loved this mouse,easy to attach to computer. great for ladies' hand as it fits comfortably while in use/ smooth moving. quick response!,2025-05-03,True,0,rating,5,0.5685898065567017
It works as good as the factory original.,rating,It works as good as the factory original.,Steve M.,"Reviewed in the United States on May 9, 2025",Yes,0,it works as good as the factory original.,it works as good as the factory original.,2025-05-09,True,0,rating,5,0.539852499961853
Good mouse,rating,"It’s an okay mouse, good for office use and for its price",pietro02,"Reviewed in the United States on April 19, 2025",Yes,0,good mouse,"it’s an okay mouse, good for office use and for its price",2025-04-19,True,0,rating,3,0.739255964756012
Good,rating,Works well.,Sajad Mazaheri,"Reviewed in the United States on May 15, 2025",Yes,0,good,works well.,2025-05-15,True,0,rating,4,0.4884435832500458
Funciona muy bien,rating,"Perfecto, tamaño adecuado",Kapc,"Reviewed in the United States on May 11, 2025",Yes,0,funciona muy bien,"perfecto, tamaño adecuado",2025-05-11,True,0,rating,5,0.7291542887687683
Great and convenient,rating,"I highly recommend this, if you don’t like waisting your time trying to navigate with you finger.",Santina,"Reviewed in the United States on May 3, 2025",Yes,0,great and convenient,"i highly recommend this, if you don’t like waisting your time trying to navigate with you finger.",2025-05-03,True,0,rating,5,0.7196465730667114
It’s way better than an Apple magic mouse!,rating,A nice functional normal mouse to replace my Apple Magic Mouse that I hate.,Kmm,"Reviewed in the United States on April 16, 2025",Yes,0,it’s way better than an apple magic mouse!,a nice functional normal mouse to replace my apple magic mouse that i hate.,2025-04-16,True,0,rating,4,0.5668240189552307
But I need a backup Mouse and The Price is Right thanks guys great for a backup,rating,Go to use this as a backup Mouse haven't used it but I will plug it in the tester but I need a backup Mouse and The Price is Right thanks,Zo,"Reviewed in the United States on April 5, 2025",Yes,One person found this helpful,but i need a backup mouse and the price is right thanks guys great for a backup,go to use this as a backup mouse haven't used it but i will plug it in the tester but i need a backup mouse and the price is right thanks,2025-04-05,True,0,rating,4,0.43763381242752075
Great basic mouse and I love it,rating,"This mouse works great, and it doesn't tell me what to do, like so much contemporary computer equipment is starting to do. It feels great in my hand and doesn't have extra buttons that get in the way, It has a chord, which I like as it doesn't have a battery and very little top go wrong.",Byron Lacy,"Reviewed in the United States on April 6, 2025",Yes,2 people found this helpful,great basic mouse and i love it,"this mouse works great, and it doesn't tell me what to do, like so much contemporary computer equipment is starting to do. it feels great in my hand and doesn't have extra buttons that get in the way, it has a chord, which i like as it doesn't have a battery and very little top go wrong.",2025-04-06,True,2,rating,5,0.6206517219543457
Vey Nice,rating,I suggest buying this if you are in need of a mouse. It's cheap but very good quality.,Ronald Ryan,"Reviewed in the United States on April 25, 2025",Yes,0,vey nice,i suggest buying this if you are in need of a mouse. it's cheap but very good quality.,2025-04-25,True,0,rating,4,0.49727654457092285
last 6 years,rating,"It last for 6 years. now the right click switch often does not work, so time to replace.
Nothing specially good, but nothing was bad either. it was great for the price.",KK,"Reviewed in the United States on March 22, 2025",Yes,One person found this helpful,last 6 years,"it last for 6 years. now the right click switch often does not work, so time to replace.
nothing specially good, but nothing was bad either. it was great for the price.",2025-03-22,True,0,rating,4,0.36002251505851746
Computer mouse,rating,It works perfectly if u need one I suggest to buy this one I love it it's moves smoothly,Julia Quirindongo,"Reviewed in the United States on April 23, 2025",Yes,0,computer mouse,it works perfectly if u need one i suggest to buy this one i love it it's moves smoothly,2025-04-23,True,0,rating,5,0.8249663710594177
GREAT VALUE. WORKS PERFECTLY,rating,GEAT VALUE. WORKS PERFECTLY,judith,"Reviewed in the United States on May 1, 2025",Yes,0,great value. works perfectly,geat value. works perfectly,2025-05-01,True,0,rating,5,0.8054791688919067
Good product,rating,"Smaller than dell, sometimes too sensitive",whoolaaa,"Reviewed in the United States on April 5, 2025",Yes,One person found this helpful,good product,"smaller than dell, sometimes too sensitive",2025-04-05,True,0,rating,3,0.5018423199653625
good,rating,good,roseanne green,"Reviewed in the United States on April 10, 2025",Yes,One person found this helpful,good,good,2025-04-10,True,0,rating,4,0.49696311354637146
It works!,rating,It works! It's a smaller mouse but is doing everything perfectly. I got it for a Chromebook and it is plug 'n play.,Silvia & Marcus,"Reviewed in the United States on April 14, 2025",Yes,0,it works!,it works! it's a smaller mouse but is doing everything perfectly. i got it for a chromebook and it is plug 'n play.,2025-04-14,True,0,rating,5,0.669592022895813
Excellent product,rating,"Good size, easy to manuever, no difficulties with function.",Angry customer,"Reviewed in the United States on April 21, 2025",Yes,0,excellent product,"good size, easy to manuever, no difficulties with function.",2025-04-21,True,0,rating,5,0.4808584153652191
Arguably the Best Mouse I've Used Over the Past Couple Plus Decades,rating,My favoritest mouse ever! It's simple but so well designed. Great job Amazon! Very responsive. Nice click action. Last a long time. Excellently responsive. Feels good in my hand. Wired is good - avoid bad frequencies with wireless. Maybe one day we'll get healthier wireless.,JohnChristopher,"Reviewed in the United States on March 25, 2025",Yes,0,arguably the best mouse i've used over the past couple plus decades,my favoritest mouse ever! it's simple but so well designed. great job amazon! very responsive. nice click action. last a long time. excellently responsive. feels good in my hand. wired is good - avoid bad frequencies with wireless. maybe one day we'll get healthier wireless.,2025-03-25,True,0,rating,5,0.962883472442627
It works,rating,It made a tablet work again.,Lawrence Robinson,"Reviewed in the United States on April 27, 2025",Yes,One person found this helpful,it works,it made a tablet work again.,2025-04-27,True,0,rating,5,0.36668533086776733
Scrolls like a mouse should,rating,Ten times better than the mouses you get at the nickel stores.,SvenStadt,"Reviewed in the United States on April 16, 2025",Yes,0,scrolls like a mouse should,ten times better than the mouses you get at the nickel stores.,2025-04-16,True,0,rating,5,0.8307715654373169
Worked great for almost 2 years,rating,"Had it for almost 2 years now and worked great until recently. Nothing major, just occasionally drops contact with the left click when trying to single click or click and drag.",Patrick,"Reviewed in the United States on March 8, 2025",Yes,0,worked great for almost 2 years,"had it for almost 2 years now and worked great until recently. nothing major, just occasionally drops contact with the left click when trying to single click or click and drag.",2025-03-08,True,0,rating,3,0.47909578680992126
Work on linux,rating,Work perfect on linux,Bismarck,"Reviewed in the United States on April 27, 2025",Yes,0,work on linux,work perfect on linux,2025-04-27,True,0,rating,5,0.7446648478507996
WOW,rating,"I needed a mouse to do an online assessment that requires it for my schooling.
Here I am thinking that I am being thrifty for buying a $9 dollar mouse at the neighborhood computer store. I go home, plug it in, and it does not work. So I go online to Amazon and I find an 'amazon basics' mouse for even cheaper. It was priced at $7 dollars and for an extra $2.25, they deliver it the same day. A couple hours later, I am startled to hear a knock on my door! What could it be? Well, It just happened to be the 'amazon basics' mouse that I ordered, no doubt. And the best part is that when I plugged it in, it worked right out of the box. No wonder these little shops have such trouble competing with Amazon!",Tony H,"Reviewed in the United States on January 17, 2025",Yes,0,wow,"i needed a mouse to do an online assessment that requires it for my schooling.
here i am thinking that i am being thrifty for buying a $9 dollar mouse at the neighborhood computer store. i go home, plug it in, and it does not work. so i go online to amazon and i find an 'amazon basics' mouse for even cheaper. it was priced at $7 dollars and for an extra $2.25, they deliver it the same day. a couple hours later, i am startled to hear a knock on my door! what could it be? well, it just happened to be the 'amazon basics' mouse that i ordered, no doubt. and the best part is that when i plugged it in, it worked right out of the box. no wonder these little shops have such trouble competing with amazon!",2025-01-17,True,0,rating,1,0.48083677887916565
"Works Well, Quiet, Smooth Scrolling",rating,"This Amazon Basic wired mouse works just fine. It is quiet and scrolls smoothly, and it is relatively compact for travelling.",Amazon Customer,"Reviewed in the United States on April 10, 2025",Yes,0,"works well, quiet, smooth scrolling","this amazon basic wired mouse works just fine. it is quiet and scrolls smoothly, and it is relatively compact for travelling.",2025-04-10,True,0,rating,4,0.4900299906730652
Great mouse replacement.,rating,Perfect mouse replacement.,Viv,"Reviewed in the United States on April 23, 2025",Yes,0,great mouse replacement.,perfect mouse replacement.,2025-04-23,True,0,rating,5,0.8611172437667847
You can't go wrong,rating,Cheap but effective,Nicolas Medel,"Reviewed in the United States on April 19, 2025",Yes,0,you can't go wrong,cheap but effective,2025-04-19,True,0,rating,4,0.4691154360771179
"Works great, but for small hands",rating,"Giving this a 4-star, simply because it is not a ""full-sized"" mouse. For children or adults with small hands, this would be 100% perfect. But my hand ""swallowed"" this mouse, so I returned it and got B08P6FXKP9 instead.",Robert & Rebecca Neel,"Reviewed in the United States on February 23, 2025",Yes,0,"works great, but for small hands","giving this a 4-star, simply because it is not a ""full-sized"" mouse. for children or adults with small hands, this would be 100% perfect. but my hand ""swallowed"" this mouse, so i returned it and got b08p6fxkp9 instead.",2025-02-23,True,0,rating,4,0.8069443702697754
