title,rating,text,reviewer_name,date,verified_purchase,helpful_votes
Works,rating,Works fine. I wish Amazon would give us a gift card or something for reviews like other sites do. I try to give a lot of reviews,Amazon Customer,"Reviewed in the United States on May 16, 2025",Yes,0
excellent mouse,rating,"It's so basic yet so practical. The clicks are silent and satisfying at the same time, responds well to all movements, a true classic. It's not too big or too small, my hand size is very average, gripping it is so satisfying.",Nicholas,"Reviewed in the United States on May 11, 2025",Yes,0
Scroll Wheel Failed after Two Years of INTENSIVE Use / Pretty Good Product,rating,"I like it. I use a wired mouse because I cannot be slowed down by changing batteries. It lasted almost two years to the day. The scroll wheel no longer works. As much as I use it, I cannot complain too much. It's a good mouse, a good price, just not sure what happened to the scroll wheel.",Dartmouth Review,"Reviewed in the United States on April 25, 2025",Yes,One person found this helpful
Great Purchase!,rating,works great... fast deliver and excellent price.,Originally a superb product. How does one purchase the quality product?,"Reviewed in the United States on June 2, 2025",Yes,0
BASIC - versatile,rating,EXCTLY AS DESCRIBED - BUY THESE EVERY FEW YEARS,DianaQ,"Reviewed in the United States on May 30, 2025",Yes,0
Good Wired Mouse.,rating,"Excellent corded mouse... I had not 1, not 2, But 3 wireless mouse failures... I got this one while waiting on new mice... It works well without any problem... It will be my backup for the next time. Very reliable mouse, Comfortable to use, Designed well as all Logitech mice are. This is wired, so no battery required. Buttons are positive feel and comfortable. I can see this mouse lasting a very long time!",Sparkie,"Reviewed in the United States on April 25, 2025",Yes,0
works fine,rating,Used this to setup a raspberry Pi.,Alex P.,"Reviewed in the United States on June 4, 2025",Yes,0
Good item,rating,Works good purchase 2x already due to my cat chewing on the cord,Mary,"Reviewed in the United States on May 20, 2025",Yes,0
what I like about my mouse purchase,rating,"I appreciate that the mouse is compact; I use it for long hours at a time. It's a great deal, with smooth scrolling, no battery needed, and it is durable.",Karen Caldwell,"Reviewed in the United States on May 5, 2025",Yes,0
Funciona,rating,"Funciona, solo funciona",Gabriel Ureña Perdomo,"Reviewed in the United States on May 19, 2025",Yes,0
Cheap backup,rating,Works well and a good price,Robert,"Reviewed in the United States on May 21, 2025",Yes,0
Excellent Deal from Start to Finish,rating,"Excellent Product, Excellent Price, Excellent Delivery Time! A++++","B.A. Fenner of Tampa Bay, FL","Reviewed in the United States on May 20, 2025",Yes,0
"Good, cheap USB mouse",rating,"It is what it is. There are times when you just need a quick, cheap mouse for a few minutes",Steve S,"Reviewed in the United States on May 11, 2025",Yes,0
Excellent value,rating,I use this as my mouse when I'm working remotely. It's a steal at this price and it performs exactly as a mouse should.,Riley,"Reviewed in the United States on May 11, 2025",Yes,0
Better and cheaper than my old one from Wal-Mart,rating,"Very quiet, moves smoothly",Kris,"Reviewed in the United States on May 24, 2025",Yes,0
Very nice,rating,Nice for my laptop,Michael E. Gendron,"Reviewed in the United States on May 17, 2025",Yes,0
Old fashioned sometimes is better,rating,"I ordered 3 computer mice, 2 used a USB receiver, and one was this plug in style. I needed them quickly and when I opened the boxes to the 2 with the USB, the receivers were missing from both boxes. Thankfully this plug in one was easy peasy, plugged in and I have a workable mouse. I use my mouse with my left hand and so it is awkward for me to use the touchpad which is really made for right handed people. Old-fashioned is still in! Works great.",J. Brown,"Reviewed in the United States on March 26, 2025",Yes,0
thanks,rating,nice,lawrence hathaway jr,"Reviewed in the United States on May 19, 2025",Yes,0
Price,rating,Good price,Jane Mcneill,"Reviewed in the United States on May 17, 2025",Yes,0
LOVED THIS MOUSE,rating,easy to attach to computer. GREAT FOR LADIES' HAND as it fits comfortably while in use/ Smooth moving. QUICK RESPONSE!,Kindle Customer,"Reviewed in the United States on May 3, 2025",Yes,0
It works as good as the factory original.,rating,It works as good as the factory original.,Steve M.,"Reviewed in the United States on May 9, 2025",Yes,0
Good mouse,rating,"It’s an okay mouse, good for office use and for its price",pietro02,"Reviewed in the United States on April 19, 2025",Yes,0
Good,rating,Works well.,Sajad Mazaheri,"Reviewed in the United States on May 15, 2025",Yes,0
Funciona muy bien,rating,"Perfecto, tamaño adecuado",Kapc,"Reviewed in the United States on May 11, 2025",Yes,0
Great and convenient,rating,"I highly recommend this, if you don’t like waisting your time trying to navigate with you finger.",Santina,"Reviewed in the United States on May 3, 2025",Yes,0
It’s way better than an Apple magic mouse!,rating,A nice functional normal mouse to replace my Apple Magic Mouse that I hate.,Kmm,"Reviewed in the United States on April 16, 2025",Yes,0
But I need a backup Mouse and The Price is Right thanks guys great for a backup,rating,Go to use this as a backup Mouse haven't used it but I will plug it in the tester but I need a backup Mouse and The Price is Right thanks,Zo,"Reviewed in the United States on April 5, 2025",Yes,One person found this helpful
Great basic mouse and I love it,rating,"This mouse works great, and it doesn't tell me what to do, like so much contemporary computer equipment is starting to do. It feels great in my hand and doesn't have extra buttons that get in the way, It has a chord, which I like as it doesn't have a battery and very little top go wrong.",Byron Lacy,"Reviewed in the United States on April 6, 2025",Yes,2 people found this helpful
Vey Nice,rating,I suggest buying this if you are in need of a mouse. It's cheap but very good quality.,Ronald Ryan,"Reviewed in the United States on April 25, 2025",Yes,0
last 6 years,rating,"It last for 6 years. now the right click switch often does not work, so time to replace.
Nothing specially good, but nothing was bad either. it was great for the price.",KK,"Reviewed in the United States on March 22, 2025",Yes,One person found this helpful
Computer mouse,rating,It works perfectly if u need one I suggest to buy this one I love it it's moves smoothly,Julia Quirindongo,"Reviewed in the United States on April 23, 2025",Yes,0
GREAT VALUE. WORKS PERFECTLY,rating,GEAT VALUE. WORKS PERFECTLY,judith,"Reviewed in the United States on May 1, 2025",Yes,0
Good product,rating,"Smaller than dell, sometimes too sensitive",whoolaaa,"Reviewed in the United States on April 5, 2025",Yes,One person found this helpful
good,rating,good,roseanne green,"Reviewed in the United States on April 10, 2025",Yes,One person found this helpful
It works!,rating,It works! It's a smaller mouse but is doing everything perfectly. I got it for a Chromebook and it is plug 'n play.,Silvia & Marcus,"Reviewed in the United States on April 14, 2025",Yes,0
Excellent product,rating,"Good size, easy to manuever, no difficulties with function.",Angry customer,"Reviewed in the United States on April 21, 2025",Yes,0
Arguably the Best Mouse I've Used Over the Past Couple Plus Decades,rating,My favoritest mouse ever! It's simple but so well designed. Great job Amazon! Very responsive. Nice click action. Last a long time. Excellently responsive. Feels good in my hand. Wired is good - avoid bad frequencies with wireless. Maybe one day we'll get healthier wireless.,JohnChristopher,"Reviewed in the United States on March 25, 2025",Yes,0
It works,rating,It made a tablet work again.,Lawrence Robinson,"Reviewed in the United States on April 27, 2025",Yes,One person found this helpful
Scrolls like a mouse should,rating,Ten times better than the mouses you get at the nickel stores.,SvenStadt,"Reviewed in the United States on April 16, 2025",Yes,0
Worked great for almost 2 years,rating,"Had it for almost 2 years now and worked great until recently. Nothing major, just occasionally drops contact with the left click when trying to single click or click and drag.",Patrick,"Reviewed in the United States on March 8, 2025",Yes,0
Work on linux,rating,Work perfect on linux,Bismarck,"Reviewed in the United States on April 27, 2025",Yes,0
WOW,rating,"I needed a mouse to do an online assessment that requires it for my schooling.
Here I am thinking that I am being thrifty for buying a $9 dollar mouse at the neighborhood computer store. I go home, plug it in, and it does not work. So I go online to Amazon and I find an 'amazon basics' mouse for even cheaper. It was priced at $7 dollars and for an extra $2.25, they deliver it the same day. A couple hours later, I am startled to hear a knock on my door! What could it be? Well, It just happened to be the 'amazon basics' mouse that I ordered, no doubt. And the best part is that when I plugged it in, it worked right out of the box. No wonder these little shops have such trouble competing with Amazon!",Tony H,"Reviewed in the United States on January 17, 2025",Yes,0
"Works Well, Quiet, Smooth Scrolling",rating,"This Amazon Basic wired mouse works just fine. It is quiet and scrolls smoothly, and it is relatively compact for travelling.",Amazon Customer,"Reviewed in the United States on April 10, 2025",Yes,0
Great mouse replacement.,rating,Perfect mouse replacement.,Viv,"Reviewed in the United States on April 23, 2025",Yes,0
You can't go wrong,rating,Cheap but effective,Nicolas Medel,"Reviewed in the United States on April 19, 2025",Yes,0
"Works great, but for small hands",rating,"Giving this a 4-star, simply because it is not a ""full-sized"" mouse. For children or adults with small hands, this would be 100% perfect. But my hand ""swallowed"" this mouse, so I returned it and got B08P6FXKP9 instead.",Robert & Rebecca Neel,"Reviewed in the United States on February 23, 2025",Yes,0
Winner take all! Tough little guy! Here I come to save the day!,rating,"I am writing this review with my feisty little friend, mighty mouse, the longest lasting of many different types and sizes I bought when my hp mouse gave up the ghost during Covid, and I realized I would be spending a lot of extra time on my pc. All of the zippy vertical, super-fast, ergonomic, oversized, competition, gamer, blah blah, fill in the blank, electronic marsupials failed early except this one. Granted, it seems a little small, but sometimes this is better to minimize large wrist movements that can be done with just finger movements (I made do and got used to it and grew to like it!). And I got tired of trashing the not so high techs! most of which just moved the pain and then committed hara-kiri. If I were a gamer, I might think otherwise. I have grown fond of my loyal little friend, mighty, who, after all, is a survivor and has come to save the day! Good boy! Fetch! (something from Amazon?).",JimLu review,"Reviewed in the United States on December 18, 2024",Yes,2 people found this helpful
Its presence is not felt,rating,Like a natural part of the body :) Quiet and smooth.,ETO,"Reviewed in the United States on April 13, 2025",Yes,0
Better than my wireless mouses....,rating,I had using so many mouses before. Either wireless or wire. This wire one is durable and great performance. Highly recommend!,Rachel,"Reviewed in the United States on April 9, 2025",Yes,0
happy,rating,works fine,charles r franks jr Chuck,"Reviewed in the United States on April 21, 2025",Yes,0
Needed a single wired mouse.,rating,Works great.,Jack Serany,"Reviewed in the United States on April 21, 2025",Yes,0
Responsive mouse,rating,"This mouse is responsive and good quality. I cannot, however, give it five stars in good conscience, considering that it bears the inscription ""Amazon Basics,"" a company owned by a man who has a net worth in excess of 170 billion dollars, when this money could be used to make massive inroads in stopping climate change, a massive human catastrophe that is and will continue to kill countless people.",D. L. Corvin,"Reviewed in the United States on January 17, 2025",Yes,0
"It features the standard left and right clicks, a scroll wheel, and a wired USB connection",rating,"I recently purchased three of the Amazon Basics 3-Button Wired USB Mouse in black. While I wasn't expecting any bells and whistles with this budget-friendly option, I've been pleasantly surprised by its functionality and performance. I use it for my lap top computer because I like the ease of using a mouse compared to finger application.

Straightforward Setup and Use

This mouse is as advertised: a basic, 3-button wired mouse. It features the standard left and right clicks, a scroll wheel, and a wired USB connection. Setting it up is a breeze - simply plug it into your USB port, and you're ready to go. No drivers or software installation required.

Perfect for Everyday Tasks and Budget-Conscious Gamers

The 1000 DPI optical tracking provides smooth cursor control, making it sufficient for everyday computer tasks like browsing, emailing, and navigating documents. It's a great option for someone who needs a simple, reliable mouse for basic use.

One surprising perk? My grandson, a passionate but budget-conscious gamer, has actually been using one of these mice for his gaming sessions. While it obviously lacks the fancy features of a high-end gaming mouse, he reports that it performs surprisingly well for casual gaming, especially considering the price point.

Solid Value for Everyday Use

Overall, the AmazonBasics 3-Button Wired USB Mouse is a solid value for everyday computer use. It's particularly attractive for those looking for a simple, affordable option or even a backup mouse. Gamers on a tight budget might also find it surprisingly functional for casual gaming.

Just keep in mind that this is a basic mouse with a wired connection. If you're looking for a wireless mouse with extra buttons and programmable features, this might not be the best choice for you. But if you need a simple, reliable mouse at a great price, the Amazon Basics 3-Button Wired USB Mouse definitely fits the bill.",Naturallyzee,"Reviewed in the United States on June 17, 2024",Yes,17 people found this helpful
It does when it’s supposed to do,rating,Great mouse very sensitive good size very durable just as good as a namebrand mouse,Eric Hills,"Reviewed in the United States on April 6, 2025",Yes,0
Good Longegivity,rating,"Bought this mouse in 2019. Performed well until mid 2024 when I noticed the sensitivity decrease. It still worked but I would need to press down harder and it would sometimes ""let go"" of things when I try dragging them across the screen.

Considering it almost lasted five years before a decline in performance, I'd say this is a good deal.",M,"Reviewed in the United States on January 19, 2025",Yes,0
"Good value for the price, Arrived the next day (PRIME)",rating,"Nice basic wired mouse. Good price I got 2.
Already dropped on the floor twice with no ill effects.",booklover,"Reviewed in the United States on April 6, 2025",Yes,0
Good for the cost,rating,Not bad at all for the cost.,Hunter,"Reviewed in the United States on March 14, 2025",Yes,0
Buen producto,rating,Buen funcionamiento,Victor Hugo Ortiz Diaz,"Reviewed in the United States on April 16, 2025",Yes,0
Useful and basic,rating,"Very basic, wired mouse. I have purchased this twice for our home computers.",mighty mouse,"Reviewed in the United States on April 8, 2025",Yes,0
Wired connected mouse works great!,rating,"This simple wired connected mouse works GREAT on my somewhat old Mac laptop. I plugged it into my USB port, adjusted the mouse setting on the Mac, and it has worked flawlessly ever since.",K3HME,"Reviewed in the United States on March 25, 2025",Yes,0
Most comfortable mouse among my collection,rating,"I have purchased mouse often, changing model or style, cheapest to expensive. Somehow no mouse could satisfy me and after years of intense computer work I reached a conclusion no mouse will work well for me. Some models were big, heavy, difficult to click with little effort, required often cleaning, would not work well on certain mouse pads. No single model felt well in my hand. After years on different jobs I stopped paying attention. Mouse become part of hardship at work, something I did not care anymore. After years a moment arrived I needed a quiet mouse, positively quiet. So clicking and moving mouse will not add to sound I apply for testing microphones. Start testing, one click, a moment later Stop testing, second click. I noticed some mouse clicks were too loud for my measurements, changed microphone plots. I had to work with louder test setup or obtain quieter mouse. Changing mousepad did not make things better for each mouse model I investigated. So a few years ago in desperation I purchased some fancy, expensive models and very cheap, generic models. I put all mice to testing, without labeling them, to avoid any bias. I quickly rejected most fancy models, some elegant white finish mouse was just no good for me. Two models performed best and one of them is my favorite now, Amazon Basics. After a few years I confirmed this model worked for me and all test benches at work liked it for being quiet. I purchased 5 more. This mouse here, Amazon Basics really works best for me. Least effort needed to click, mouse felt perfect in my hand, ergonomic to my hand that is rather medium size toward small. Clicks sound is acceptable to my measurements, performance is equally quiet on mouse pad, on plain table surface and on randomly picked surfaces near always overcrowded test benches. Mouse moves steadily on each surface, it is always reliable. I use many computer models, USB port flavors, Windows from 7 to 11. This mouse always works just when plugged, I never had compatibility issue. I used it also on dusty table surface, never a problem. Most critical task for me is designing of layout for electronics components with size between 1mm and 0.1mm, where I need big zoom on the scree and mouse needs to use it's high end of resolution. No problem here, very smooth operation as always. Mouse is lightweight, usually lightweight I associate with ""cheap plastics"" products. Not such perception here, due to my comfort and proven performance.",Peter Sobczak,"Reviewed in the United States on August 4, 2022",Yes,56 people found this helpful
Nice buy,rating,"It was delivered quickly and it works just fine. At an affordable price, what's not to like.",Dale Harkleroad,"Reviewed in the United States on April 5, 2025",Yes,0
Goes bad after a few years,rating,Getting ready to order my 3d one It's cheap and works okay - does what it is supposed to do. But after a few years the two that I have bought started double clicking That's why I am getting ready to replace the one I am now using.,Boneshaker,"Reviewed in the United States on May 25, 2025",Yes,0
Just a good cheap mouse that works!,rating,Perfect! Just what I need for my operation here.,Raymond Alex,"Reviewed in the United States on April 6, 2025",Yes,0
Works,rating,"Works. Tossed the old one, had a short.",SB Cheek,"Reviewed in the United States on March 5, 2025",Yes,0
good quality,rating,annoying sound of scroll,Ahmed,"Reviewed in the United States on March 3, 2025",Yes,One person found this helpful
Inexpensive Mouse; You get what you pay for.,rating,"They last a year and then you have to buy a new one. I use mine daily for work; Do not abuse or mishandle it. No issues with the mouse when it's working. It functions as it should; Movement is smooth.

Thank goodness that it is inexpensive so it's not difficult to replace; it's just very annoying that it doesn't last longer.",C. Stafford,"Reviewed in the United States on May 11, 2025",Yes,0
"The ""Bring Home the Bacon"" Work Mouse: A No-Frills, Excellent Daily Driver.",rating,"Fellow Dads,feast your eyes on the Amazon Basics Mouse – the trusty steed in the realm of everyday digital hustle. This isn't just a mouse; it's a testament to the ""get-er-done"" ethos that powers through spreadsheets, homework, and those endless email threads with the finesse of a well-oiled machine.

Let's cut to the chase: it's ultralight, making you wonder if Amazon discovered anti-gravity tech. Yet, it feels as reliable as that old family wagon, boasting a solid one-piece construction that resonates with a reassuring solidity at every tap. The clicks? They're the muted thuds of determination, ensuring you can work through nap times without waking the baby. And the scroll wheel, with its gentle rumbles, feels like cruising down the information highway with the top down.

I've plugged this trooper into every computer in the house, tested it on desks, different pads, and even the kitchen counter – it just works. The cable's as steadfast as your commitment to Sunday family brunch, and the glide pads beneath? They ensure smooth sailing across many different landscapes, minimal yet mighty.

""Made in China,"" this mouse doesn't shy away from its roots, delivering an affordable, no-compromise tool that checks every box. Medium-sized for universal fit, it's the Goldilocks of mice - not too big, not too small, just right for the bulk of the population.

Why did I buy a case of 30? Because when you find something that works this well at keeping the daily grind moving, and need an affordable mouse this is it! It's the workhorse mouse that metaphorically ""brings home the bacon,"" fueling your day without draining the wallet.

Initial look: for the huge selection of mouse out there this does not fall short for what you pay and what you get with the soft touch paint solid construction, high-quality wiring, good plug pads, decent laser, tracking, muted, click buttons muted, scroll wheel, and good size makes it a good purchase. Hope this is helpful in your decision. More updates to follow.",Matt,"Reviewed in the United States on March 21, 2024",Yes,43 people found this helpful
A Boomer Treasure!,rating,Very good product for Boomers who still use a mouse! Love this!!!!,Cindy Caporaso,"Reviewed in the United States on April 5, 2025",Yes,0
Great mouse for the price compare to other brands.,rating,Easy use,Kike,"Reviewed in the United States on April 10, 2025",Yes,0
great mouse,rating,This is the only mouse in the ones I have that is currently working. It is in fine working order without any issues.,Dee,"Reviewed in the United States on January 13, 2025",Yes,0
"smaller than the ""standard"" mouse",rating,"It works fine, seems like it will last (although the cord isn't quite as rugged as some), and the cord is a good length.

One potentially important thing, however: it's considerably smaller and lighter than the ubiquitous ""Microsoft mouse"" (and all the similar, feel-alike models). It's not tiny, but it definitely has a different feel to it and it takes a little bit of getting used to. This can be a good thing: it doesn't take up as much space in your backpack, if you need to carry it with you. But I imagine that for some people (maybe gamers who use the mouse, or people doing graphic design who need fine control) the difference in size and weight could be an issue, because it definitely feels different.",DannyO,"Reviewed in the United States on December 8, 2024",Yes,2 people found this helpful
good deal for price,rating,works very well,Ronald Tirino,"Reviewed in the United States on February 15, 2025",Yes,0
Great value,rating,For a wired mouse. Very comfortable and quite durable. Connectivity is straight forward as it plugs in via USB port. Buttons operate smoothly. Excellent scrolling as center wheel is smooth.,DavidLMO,"Reviewed in the United States on January 5, 2025",Yes,0
Thank you,rating,good used product,Pang lee,"Reviewed in the United States on April 2, 2025",Yes,0
A CORDLESS MOUSE IS JUNK,rating,I have been using cordless mice for a while and i really don't like the performance of them. I bought this corded mouse and its a great deal easier to use and not so dam unreliable. NO more of them cordless mice for me,LYLE SNOW,"Reviewed in the United States on February 28, 2025",Yes,0
Works fine but died after only 2 years,rating,"I used this as a mouse for my laptop. As a mouse, it was reliable and accurate. However, it died after 2 years of fairly light use (no gaming, used for a few hours at a time one day a week or so). Not sure what went wrong, but my Macbook says that the voltage is not regulated correctly. Nothing visibly damaged, but it no longer works on any computer. Most of my other mice have lasted closer to 5-10 years, but at this price, hard to complain.",J. L.,"Reviewed in the United States on November 1, 2024",Yes,One person found this helpful
Good,rating,"Works well, good durability, it’s very quiet, fits my hand well, and the scroll wheel is very good for a longer time",Cheyenne Philpott,"Reviewed in the United States on March 18, 2025",Yes,0
Cable too short,rating,Cable is short but that is my fault for not reading.,Glenn M,"Reviewed in the United States on January 28, 2025",Yes,0
You get what you pay for,rating,"It's not the fanciest electronic gadget out there. Does what a mouse is supposed to do. It moves your page up and down and from side to side. But will give you a real hard time when you're trying to highlight text and will force you to make several attempts at it before getting the job done, which can be quite frustrating. Outside of that, it's an okay mouse.",Cassandra B.,"Reviewed in the United States on April 7, 2025",Yes,0
Good quality for the price.,rating,For the price it seems to be good quality. It's comfortable and the scroll wheel works well.,S.Rose,"Reviewed in the United States on March 17, 2025",Yes,0
Lightweight,rating,"I have been using this mouse for a little over a year, and I like its light weight, which is easier on my hand/wrist. The buttons and wheel still work well, but I have started noticing in the past few weeks that the pointer sometimes jumps, even though I am not moving the mouse. It may be time for a replacement already.",Gesundheit,"Reviewed in the United States on December 2, 2024",Yes,0
"Reliable, Comfortable, and Great Value for a Wired Mouse!",rating,"This Amazon Basics 3-Button Wired USB Mouse has been a fantastic addition to my setup. It’s straightforward, plug-and-play, and works perfectly on both my laptop and desktop without needing any software installation. The tracking is surprisingly responsive, and I find the scroll wheel smooth and easy to control, which is great for browsing and document work.

The size and shape of the mouse fit comfortably in my hand, even during extended use, and I appreciate the simple, no-frills design. The USB connection is reliable, so I never experience delays or dropped connections, which can be an issue with wireless mice. For a basic mouse, this Amazon Basics option really exceeded my expectations and is unbeatable for the price. If you’re looking for a solid, no-nonsense wired mouse, I’d definitely recommend this one!",Ken Krempetz,"Reviewed in the United States on November 2, 2024",Yes,9 people found this helpful
Really budget,rating,"Its actually not that great, I wished I would have bought something with better quality for the same price. The buttons are not clicky and hard to know if you're pressing down. Big meh.",stevendavid2000,"Reviewed in the United States on May 8, 2025",Yes,0
Excellent mouse!,rating,LOVE this mouse! it's quiet & just comfortable to use. Would def buy again!,Rhonda W.,"Reviewed in the United States on March 23, 2025",Yes,0
They didn't like when they said 'basic',rating,"Cheap mouse, cheap quality",Leury,"Reviewed in the United States on May 10, 2025",Yes,0
